generation,model_key,category,row_evaluations,avg_det_score,det_pass_count,det_pass_rate,failure_histogram
8,qwen25_coder_14b,5,15,93.7893,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 5, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""precondition"": 1, ""semantic"": 1, ""service_match"": 1, ""unknown_service"": 1}"
8,qwen25_coder_14b,6,15,94.671,14,93.3333,"{""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1}"
8,qwen25_coder_14b,7,15,77.5251,6,40.0,"{""arg_type"": 1, ""dataflow"": 6, ""enum_grounding"": 6, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 3, ""semantic"": 9, ""service_match"": 6, ""unknown_service"": 6}"
8,qwen25_coder_14b,8,15,93.4284,15,100.0,"{""enum_grounding"": 2, ""extraneous"": 5, ""gt_mismatch"": 12, ""semantic"": 12}"
9,qwen25_coder_14b,1,15,100.0,15,100.0,{}
9,qwen25_coder_14b,2,15,100.0,15,100.0,{}
9,qwen25_coder_14b,3,15,92.8168,14,93.3333,"{""arg_type"": 1, ""dataflow"": 1, ""extraneous"": 1, ""gt_mismatch"": 6, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 1, ""precondition"": 1, ""semantic"": 1, ""service_match"": 1}"
9,qwen25_coder_14b,4,15,99.1011,15,100.0,"{""gt_mismatch"": 3, ""semantic"": 1}"
9,qwen25_coder_14b,5,15,98.5921,15,100.0,"{""enum_grounding"": 5, ""gt_mismatch"": 5}"
9,qwen25_coder_14b,6,15,96.4136,15,100.0,"{""extraneous"": 10, ""gt_mismatch"": 15}"
9,qwen25_coder_14b,7,15,76.0202,5,33.3333,"{""arg_type"": 1, ""dataflow"": 6, ""enum_grounding"": 6, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 4, ""semantic"": 10, ""service_match"": 6, ""unknown_service"": 6}"
9,qwen25_coder_14b,8,15,94.0591,15,100.0,"{""enum_grounding"": 1, ""extraneous"": 5, ""gt_mismatch"": 11, ""semantic"": 11}"
10,qwen25_coder_14b,1,15,88.8667,13,86.6667,"{""arg_type"": 2, ""enum_grounding"": 2, ""extraneous"": 2, ""gt_mismatch"": 2, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 2, ""precondition"": 2, ""semantic"": 2, ""service_match"": 2}"
10,qwen25_coder_14b,2,15,100.0,15,100.0,{}
10,qwen25_coder_14b,3,15,98.3956,15,100.0,"{""gt_mismatch"": 6, ""semantic"": 1}"
10,qwen25_coder_14b,4,15,98.2023,15,100.0,"{""gt_mismatch"": 6, ""semantic"": 2}"
10,qwen25_coder_14b,5,15,98.6186,15,100.0,"{""enum_grounding"": 4, ""gt_mismatch"": 5}"
10,qwen25_coder_14b,6,15,80.9162,11,73.3333,"{""arg_type"": 2, ""dataflow"": 2, ""enum_grounding"": 2, ""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 2, ""precondition"": 2, ""semantic"": 2, ""service_match"": 2}"
10,qwen25_coder_14b,7,15,74.9576,6,40.0,"{""arg_type"": 3, ""dataflow"": 6, ""enum_grounding"": 6, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 3, ""semantic"": 8, ""service_match"": 6, ""unknown_service"": 7}"
10,qwen25_coder_14b,8,15,92.7531,15,100.0,"{""enum_grounding"": 3, ""extraneous"": 5, ""gt_mismatch"": 13, ""semantic"": 13}"
