failure_type,affected_block_family,suggested_mutation_type,prompt_block_id,failure_count,original_failure_reasons,rule,priority,generation,model_key
semantic_error,Skeleton,strengthen_skeleton_rule,06,33,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,2,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,32,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,2,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,23,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,2,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,20,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,2,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,18,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:contactsensor_presence|unknown_service:light_on,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,2,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,15,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,2,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,14,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,2,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,87,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,3,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,40,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,3,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,36,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,3,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,31,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,3,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,27,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,3,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,26,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,3,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,16,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,3,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,16,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:airpurifier_setdehumidifiermode|unknown_service:contactsensor_presence|unknown_service:light_on,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,3,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,11,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,3,qwen25_coder_7b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,3,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,83,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,4,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,35,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,4,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,33,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,4,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,31,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,4,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,28,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,4,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,20,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,4,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,16,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:airpurifier_setdehumidifiermode|unknown_service:contactsensor_presence|unknown_service:light_on,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,4,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,15,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,4,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,9,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,4,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,84,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,5,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,44,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,5,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,40,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,5,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,35,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,5,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,33,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,5,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,27,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,5,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,19,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:airpurifier_setdehumidifiermode|unknown_service:audio_recorder_saveas|unknown_service:light_on|unknown_service:tvchannelup|unknown_service:weatherprovider_rain,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,5,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,17,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,5,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,15,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,5,qwen25_coder_7b
precondition,DET_Helper,add_targeted_repair_hint,06,2,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,5,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,83,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,6,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,36,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,6,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,35,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,6,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,33,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,6,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,32,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,6,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,24,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,6,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,16,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,6,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,15,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,6,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,12,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:airpurifier_setdehumidifiermode|unknown_service:light_on|unknown_service:television_on|unknown_service:weatherprovider_rain,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,6,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,87,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,7,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,37,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,7,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,36,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,7,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,34,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,7,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,30,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,7,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,23,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,7,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,14,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,7,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,12,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,7,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,11,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:contactsensor_presence|unknown_service:light_on|unknown_service:television_on,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,7,qwen25_coder_7b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,7,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,81,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,8,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,33,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,8,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,32,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,8,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,30,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,8,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,27,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,8,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,20,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,8,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,17,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,8,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,14,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:contactsensor_presence|unknown_service:light_on,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,8,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,7,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,8,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,85,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,9,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,36,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,9,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,36,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,9,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,31,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,9,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,29,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,9,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,22,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,9,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,19,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,9,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,15,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:airpurifier_mode|unknown_service:airpurifier_setdehumidifiermode|unknown_service:contactsensor_presence|unknown_service:light_on,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,9,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,12,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,9,qwen25_coder_7b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,9,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,83,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,10,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,38,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,10,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,36,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,10,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,34,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,10,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,33,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,10,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,24,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,10,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,16,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,10,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,16,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,10,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,13,unknown_service:airconditioner_humidity|unknown_service:airconditioner_mode|unknown_service:airconditioner_temperature|unknown_service:airpurifier_setdehumidifiermode|unknown_service:audio_recorder_recordsaveas|unknown_service:contactsensor_presence|unknown_service:light_on|unknown_service:tvchannelup,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,10,qwen25_coder_7b
precondition,DET_Helper,add_targeted_repair_hint,06,2,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,10,qwen25_coder_7b
